team,year,oast_dast,fgp,ftp,tpp,win_ratio,num_allstar,avg_age,result,is_champ
ATL,1980,0.9540051679586563,0.479318380425284,0.7768339768339768,0.12195121951219512,0.3780487804878049,2,26.774209734069238,Non-Playoff Team,N
BOS,1980,1.1650793650793652,0.5044372446823496,0.7517940059096665,0.2697095435684647,0.7560975609756098,3,26.71041456016178,Champion,Y
CHI,1980,0.9871794871794872,0.5007967550340432,0.7744830277019118,0.2122905027932961,0.5487804878048781,2,26.399292214357942,Playoff Team,N
CLE,1980,0.9265927977839336,0.46734130634774607,0.7784180199057098,0.2891566265060241,0.34146341463414637,1,25.52532861476239,Non-Playoff Team,N
DAL,1980,0.9456625357483317,0.46247113163972287,0.7511057498994773,0.2787878787878788,0.18292682926829268,0,24.73003033367037,Non-Playoff Team,N
DEN,1980,0.8026888098062476,0.47537688442211057,0.7826941986234022,0.20689655172413793,0.45121951219512196,0,26.47421698822351,Non-Playoff Team,N
DET,1980,0.8947368421052632,0.46321213856284,0.7248927038626609,0.15476190476190477,0.25609756097560976,0,24.24241964059732,Non-Playoff Team,N
GSW,1980,0.9113810166441746,0.4887424492037342,0.7266215678471946,0.2857142857142857,0.47560975609756095,0,24.62649455713521,Non-Playoff Team,N
HOU,1980,0.9580100410771337,0.48711656441717793,0.769680611785875,0.17796610169491525,0.4878048780487805,1,26.7556677606665,Playoff Team,N
IND,1980,0.9895882631329863,0.4818495514147688,0.7145669291338582,0.17751479289940827,0.5365853658536586,0,26.057287234042548,Playoff Team,N
KCK,1980,1.2229402261712439,0.49951055796392113,0.71441523118767,0.2916666666666667,0.4878048780487805,1,26.20721129601614,Playoff Team,N
LAL,1980,1.0364035087719299,0.5120563532917909,0.7288215806909607,0.18085106382978725,0.6585365853658537,2,26.968644281747032,Playoff Team,N
MIL,1980,1.1406787998032464,0.49812633832976444,0.7700854700854701,0.22900763358778625,0.7317073170731707,1,26.599949379903826,Playoff Team,N
NJN,1980,0.9645522388059702,0.4753896636587367,0.7507380851961197,0.2463768115942029,0.2926829268292683,0,25.60518267252405,Non-Playoff Team,N
NYK,1980,0.946360153256705,0.48311509303928324,0.7472757753562448,0.23728813559322035,0.6097560975609756,0,24.842930051035726,Playoff Team,N
PHI,1980,1.1652729955730448,0.514067580941609,0.7684384013185002,0.2261904761904762,0.7560975609756098,2,27.101183580961973,Playoff Team,N
PHO,1980,1.119289340101523,0.48962598962598963,0.7448559670781894,0.21739130434782608,0.6951219512195121,2,25.705897241204756,Playoff Team,N
POR,1980,1.0640113798008535,0.4964830789648308,0.7179370150616157,0.16891891891891891,0.5487804878048781,0,25.490808360614455,Playoff Team,N
SAS,1980,0.928377153218495,0.49079164376030787,0.7691154422788605,0.17647058823529413,0.6341463414634146,1,26.03357582540571,Playoff Team,N
SDC,1980,1.000476871721507,0.4774131539200879,0.7350845948352627,0.32432432432432434,0.43902439024390244,0,27.4160162189559,Non-Playoff Team,N
SEA,1980,0.9515655577299413,0.4678796361091673,0.7630471380471381,0.27350427350427353,0.4146341463414634,2,26.76425682507583,Non-Playoff Team,N
UTA,1980,0.981360201511335,0.4882051282051282,0.7668269230769231,0.25766871165644173,0.34146341463414637,1,25.08783578307147,Non-Playoff Team,N
